climate_bin,yield_ceiling,yield_ceiling_rf,b_nut,b_K2O,c_N,c_P2O5,c_K2O
1,9.8812,,0.61659,0.52989,0.0074887,0.034892,0.037671
2,10.0349,,0.60984,0.54785,0.0041851,,0.035165
3,9.9485,4.9799,0.6267,0.57391,0.0044714,,0.045762
4,11.168,6.709,0.72816,0.72811,0.0041812,,0.048277
5,10.0253,6.3884,0.69718,0.6886,0.0054234,,0.059972
6,8.9594,6.2153,0.66115,0.66025,0.0062368,0.032307,0.070274
7,7.8647,4.7847,0.78755,0.63351,0.0083327,,0.071907
8,7.2499,7.2499,0.58939,0.58679,0.012146,0.04452,0.044586
9,7.1733,,0.74614,0.65594,0.023615,0.026354,0.053652
10,7.0004,5.4218,0.81791,0.70981,0.024383,,0.060261
11,11.8978,,0.56739,0.45673,,0.010955,0.090024
12,9.3243,,0.75489,0.62298,0.0072181,,0.050638
13,7.759,5.1182,0.67698,,0.013803,0.021425,
14,7.4696,5.6338,0.47934,0.47934,0.0050586,0.036404,0.044433
15,7.1637,7.1637,0.45714,0.45714,0.0051987,0.07248,0.045494
16,7.1733,,0.6444,0.64439,0.0088633,,0.068298
17,7.4325,5.7223,0.75711,0.70755,0.012796,0.074661,0.060761
18,7.4325,5.6037,0.67442,0.67346,0.0094298,0.029618,0.06084
19,7.4998,5.673,0.71732,0.6921,0.0087101,0.064443,0.065064
20,6.8564,5.1179,0.73883,0.64481,0.0073365,0.047422,0.059418
21,7.8166,,0.88954,0.50424,0.012829,0.056978,0.036087
22,6.734,,0.85803,0.73673,0.024792,,0.037915
23,6.4969,,0.85285,0.72957,0.025285,,0.038889
24,6.8756,5.34,0.90172,0.75433,0.022588,,0.040284
25,7.6822,5.6806,0.72241,0.6686,0.0060846,0.036338,0.035522
26,7.3941,7.3941,0.71329,0.54458,0.0070229,0.027604,0.031841
27,7.3941,7.3941,0.71159,0.64898,0.0067438,,0.037755
28,11.7501,5.3895,0.86181,0.79308,0.0048744,0.018403,0.0157
29,7.0646,4.3063,0.80331,0.45836,0.010246,,0.019104
30,5.9073,4.3377,0.77149,,0.012026,,
31,7.102,5.3265,0.6805,,0.0074964,0.017092,
32,7.102,4.2844,0.7094,,,0.018271,
33,7.102,3.219,0.89103,,,0.01603,
34,4.9623,2.4781,0.80734,,0.0082646,0.071332,
35,4.5037,2.0262,0.78435,0.31959,0.037264,0.15492,0.024682
36,5.8248,4.1373,0.71319,0.62933,0.012349,,0.044051
37,5.8248,4.2872,0.73222,0.66863,0.017126,0.067502,0.062897
38,5.6365,3.8985,0.72328,,0.0093412,0.1015,
39,5.6265,3.8129,0.70602,,0.0082927,,
40,5.125,,0.66302,0.5511,0.0053091,,0.17593
41,5.9183,2.8226,0.76154,,,0.017139,
42,4.764,,0.85815,,,0.015634,
43,3.861,,0.79955,,0.0056657,0.11408,
44,4.2642,2.0621,0.75556,,0.0057388,,
45,4.764,2.4048,0.79613,,0.0080635,0.15017,
46,4.3728,2.8783,0.84547,,0.015374,0.13249,
47,5.6165,3.9531,0.75212,,0.010192,,
48,5.5964,3.5556,0.72129,,0.0089208,,
49,5.3156,3.8455,0.70657,,0.0096173,0.088397,
50,5.2153,,0.65665,0.56874,0.0082717,,0.12995
51,5.0533,,0.87087,0.49812,0.013645,0.065719,0.033779
52,3.5454,,0.67898,,,0.024106,
53,4.3828,,0.74589,0.46988,0.0092968,0.091758,0.015214
54,4.9623,2.8163,0.80428,,0.01019,,
55,4.78,2.8268,0.74602,,0.014164,0.13498,
56,5.5864,4.1229,0.68902,,0.0088541,0.098592,
57,6.0477,,0.74147,0.50752,0.0070091,,0.15002
58,5.7368,2.6004,0.68669,,0.0092065,,
59,5.4961,,0.71621,0.5271,0.0080163,,0.085696
60,5.4961,2.7995,0.76702,0.58445,0.044923,,0.267
61,5.0533,,0.84084,0.52839,,,0.02879
62,3.8393,2.804,0.68775,,0.010605,0.12273,
63,4.5525,3.535,0.74902,0.64939,0.019435,,0.044006
64,4.9623,3.771,0.75535,0.69648,0.019059,,0.046685
65,4.3553,,0.777,0.68052,,,0.042138
66,4.9294,2.1556,0.74652,0.55205,0.013539,,0.19972
67,5.6365,2.7237,0.72328,,0.012001,,
68,5.807,2.8685,0.76026,,0.016394,,
69,5.5362,2.9818,0.71826,,0.016247,0.15438,
70,5.5362,3.0973,0.7687,,0.022961,,
71,5.0533,1.9748,0.82414,0.48537,0.050631,,0.034564
72,4.5525,,0.74902,0.74428,,,0.04084
73,4.5525,,0.73333,0.68832,,0.11636,0.033264
74,3.9455,,0.69231,0.63937,,,0.033797
75,4.102,,0.78913,0.64557,,,0.028052
76,5.5362,5.5362,0.77431,0.49527,0.0090724,,0.21441
77,5.7669,3.8532,0.72953,,0.010948,0.12391,
78,5.2053,3.4227,0.69962,0.4369,,,0.12361
79,5.2955,3.1188,0.64394,0.25573,,,0.057326
80,5.5362,3.1846,0.7687,0.54225,,,0.175
81,5.372,,0.83457,0.41171,0.045486,,0.026258
82,4.1638,2.1882,0.71208,0.63027,,,0.048206
83,5.5238,,0.78157,0.65954,0.0051341,0.071522,0.09006
84,4.85,1.8387,0.82165,0.69907,,,0.027639
85,4.8992,,0.82345,0.46579,0.0080237,0.10522,0.075972
86,5.5262,2.2102,0.81876,,0.011782,,
87,5.5262,3.0813,0.77327,0.48839,0.015611,,0.18866
88,5.5362,3.016,0.69656,0.38428,,,0.046475
89,5.2755,3.0822,0.68332,0.35653,,,0.028161
90,4.9044,3.3798,0.66286,0.47886,,,0.11964
91,5.9487,,0.83929,0.6087,,,0.081764
92,5.6907,,0.73867,0.72429,0.020959,,0.13596
93,5.0988,5.0988,0.58929,0.58929,0.022195,0.064723,0.15172
94,5.0685,3.1004,0.68315,,0.027634,,
95,4.9774,2.6003,0.68588,,0.019341,0.076531,
96,4.9623,2.8082,0.75841,0.476,0.019152,0.065354,0.12214
97,6.7503,2.4871,0.80698,0.69688,,,0.029467
98,6.7503,,0.87186,0.74256,,,0.019045
99,4.8992,3.7494,0.82345,,0.012275,,
100,5.4275,,0.76407,0.68988,0.01125,,0.15788
global,5.6265,,0.71299,,0.010126,0.032679,0.074085
